                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59316,                  0.369,                 1.0254,                0.98964,                0.99976,                0.99477,                0.93285,                 0.3941,                0.19208,                0.86569,             0.00050254,             0.00050254,             0.00050254
                     37,                0.58299,                 0.3539,                 1.0171,                0.98881,                0.99633,                 0.9941,                0.92826,                0.39297,                0.19478,                0.86413,             0.00049493,             0.00049493,             0.00049493
                     38,                0.56979,                0.35001,                 1.0061,                0.98965,                0.99687,                 0.9947,                0.92506,                 0.4173,                0.22038,                0.88537,             0.00048732,             0.00048732,             0.00048732
                     39,                0.57685,                0.34822,                 1.0153,                0.99222,                0.99177,                0.99477,                0.93001,                0.38894,                0.19428,                0.86124,              0.0004797,              0.0004797,              0.0004797
                     40,                0.57003,                0.34105,                 1.0059,                0.99314,                0.99154,                0.99377,                0.93197,                0.38802,                0.19699,                0.86133,             0.00047209,             0.00047209,             0.00047209
                     41,                0.57007,                0.35178,                 1.0075,                0.98887,                0.99874,                0.99465,                0.93351,                0.39039,                0.21126,                0.86887,             0.00046448,             0.00046448,             0.00046448
                     42,                0.56249,                0.34367,                 1.0029,                0.98652,                0.99811,                0.99341,                0.92983,                0.37915,                0.19452,                0.85785,             0.00045686,             0.00045686,             0.00045686
                     43,                0.57013,                0.34651,                 1.0114,                0.98947,                0.99896,                0.99475,                0.93484,                0.38894,                0.18949,                0.86621,             0.00044925,             0.00044925,             0.00044925
                     44,                0.55168,                0.33273,                0.99816,                 0.9886,                      1,                0.99481,                0.93611,                0.38153,                0.18688,                0.86381,             0.00044164,             0.00044164,             0.00044164
                     45,                0.55691,                0.32847,                0.99911,                0.98821,                0.99703,                0.99468,                0.93649,                0.38074,                0.18473,                0.86276,             0.00043402,             0.00043402,             0.00043402
                     46,                0.55022,                0.33332,                0.99805,                0.98663,                0.99634,                0.99472,                0.93588,                0.38848,                0.18769,                0.86386,             0.00042641,             0.00042641,             0.00042641
                     47,                0.54559,                 0.3255,                 1.0026,                0.98688,                 0.9992,                0.99467,                0.93779,                0.37969,                0.18761,                0.86004,              0.0004188,              0.0004188,              0.0004188
                     48,                0.53877,                0.32295,                0.99282,                0.98952,                0.99877,                0.99477,                0.93609,                0.37642,                0.18719,                0.85503,             0.00041118,             0.00041118,             0.00041118
                     49,                0.54234,                0.31822,                0.98786,                0.99143,                0.99816,                0.99486,                0.94076,                0.37634,                0.18034,                0.85336,             0.00040357,             0.00040357,             0.00040357
                     50,                0.53558,                0.31824,                0.99164,                0.98916,                0.99831,                0.99478,                0.93677,                0.38221,                0.18842,                0.85694,             0.00039596,             0.00039596,             0.00039596
                     51,                0.53389,                0.32085,                0.98544,                0.98898,                      1,                0.99476,                0.93971,                0.36856,                0.18732,                0.85043,             0.00038835,             0.00038835,             0.00038835
                     52,                0.53005,                0.31292,                0.98773,                0.98686,                      1,                0.99473,                0.94024,                0.37267,                0.17882,                0.85124,             0.00038073,             0.00038073,             0.00038073
                     53,                0.53031,                0.31746,                0.98113,                0.98852,                0.99721,                0.99373,                0.93932,                 0.3685,                0.18451,                0.85054,             0.00037312,             0.00037312,             0.00037312
                     54,                0.52368,                 0.3095,                0.98347,                0.99086,                0.99981,                0.99406,                0.93823,                0.36842,                0.17885,                0.85278,             0.00036551,             0.00036551,             0.00036551
                     55,                0.52392,                0.31223,                0.98355,                 0.9917,                0.99915,                 0.9948,                 0.9391,                  0.369,                0.17806,                0.85302,             0.00035789,             0.00035789,             0.00035789
                     56,                0.52126,                0.30758,                0.98479,                 0.9895,                0.99914,                0.99461,                0.94057,                0.36658,                0.17825,                0.85113,             0.00035028,             0.00035028,             0.00035028
                     57,                0.51252,                0.30101,                0.97598,                0.98961,                      1,                0.99475,                0.93914,                0.36611,                0.17288,                0.85141,             0.00034267,             0.00034267,             0.00034267
                     58,                0.50714,                0.29499,                0.97805,                0.98598,                      1,                0.99479,                0.94214,                0.36249,                0.17135,                0.84772,             0.00033505,             0.00033505,             0.00033505
                     59,                0.50987,                0.29848,                0.97411,                0.98909,                      1,                0.99473,                0.94066,                0.37047,                0.17178,                0.85307,             0.00032744,             0.00032744,             0.00032744
                     60,                0.50737,                0.29736,                0.97249,                0.98908,                0.99867,                0.99466,                0.93765,                0.36159,                0.16938,                0.84402,             0.00031983,             0.00031983,             0.00031983
                     61,                0.51029,                0.30079,                0.97657,                0.98614,                0.99919,                0.99483,                0.94096,                0.36884,                0.17604,                 0.8534,             0.00031221,             0.00031221,             0.00031221
                     62,                0.50429,                0.29568,                0.96773,                0.99224,                0.99694,                0.99479,                0.94355,                0.36723,                0.16684,                0.84982,              0.0003046,              0.0003046,              0.0003046
                     63,                0.50059,                0.29329,                 0.9678,                0.99077,                0.99981,                0.99486,                0.94304,                0.36028,                0.16337,                0.84525,             0.00029699,             0.00029699,             0.00029699
                     64,                0.49722,                0.28444,                0.96652,                 0.9906,                0.99931,                0.99483,                0.93931,                0.36307,                0.17176,                0.84768,             0.00028937,             0.00028937,             0.00028937
                     65,                0.49314,                0.28921,                0.96618,                0.99246,                0.99909,                0.99485,                 0.9433,                0.35672,                0.16715,                0.84194,             0.00028176,             0.00028176,             0.00028176
                     66,                0.48809,                0.28399,                0.95947,                0.99074,                      1,                0.99479,                0.94507,                0.35698,                0.16316,                0.84043,             0.00027415,             0.00027415,             0.00027415
                     67,                0.48787,                0.28226,                0.96234,                0.98919,                      1,                0.99477,                0.94204,                0.35415,                 0.1631,                0.84287,             0.00026654,             0.00026654,             0.00026654
